filename,text,split,eval_set
mi_elsaandanna.wav,elsa and anna,train,neither
mi_inmyroom.wav,in my room,train,neither
mi_listentome.wav,listen to me,train,neither
mi_listentome_1.wav,listen to me,train,neither
mi_holdmyhand.wav,hold my hand,train,neither
mi_talktomom.wav,talk to mom,train,neither
mi_giveitback.wav,give it back,train,neither
mi_giveitback_1.wav,give it back,train,neither
mi_gotoschool.wav,go to school,train,neither
mi_eat.wav,eat,test,A
mi_sit.wav,sit,test,A
mi_bat.wav,bat,test,A
mi_tag.wav,tag,test,A
mi_pit.wav,pit,test,A
mi_van.wav,van,test,A
mi_wave.wav,wave,test,A
mi_look.wav,look,test,A
mi_then.wav,then,test,A
mi_edge.wav,edge,test,A
mi_chair.wav,chair,test,A
mi_nine.wav,nine,test,A
mi_song.wav,song,test,A
mi_year.wav,year,test,A
mi_we.wav,we,test,A
mi_smile.wav,smile,test,A
mi_three.wav,three,test,A
mi_hot.wav,hot,test,A
mi_night.wav,night,test,A
mi_bird.wav,bird,test,A
mi_blanket.wav,blanket,test,A
mi_becareful.wav,be careful,test,A
mi_hearmusic.wav,hear music,test,A
mi_goodnight.wav,good night,test,A
mi_goodmorning.wav,good morning,test,A
mi_imhungry.wav,i'm hungry,test,A
mi_iremember.wav,i remember,test,A
mi_imtired.wav,i'm tired,test,A
mi_ifeelsick.wav,i feel sick,test,A
mi_closethedoor.wav,close the door,test,A
mi_leavehimalone.wav,leave him alone,test,A
mi_sitdown.wav,sit down,test,A
mi_letsplay.wav,let's play,test,A
mi_turnaround.wav,turn around,test,A
mi_notnow.wav,not now,test,A
mi_waitaminute.wav,wait a minute,test,A
mi_thatstooloud.wav,that's too loud,test,A
mi_youreannoying.wav,you're annoying,test,A
mi_imscared.wav,i'm scared,test,A
mi_thatsmine.wav,that's mine,test,A
mi_tryagain.wav,try again,test,A
mi_moveover.wav,move over,test,A
mi_icantfindthetoy.wav,i can't find the toy,test,A
mi_bequiet.wav,be quiet,test,A
mi_dinnersready.wav,dinner's ready,test,A
mi_imupstairs.wav,i'm upstairs,test,A
mi_putyourshoeson.wav,put your shoes on,test,A
mi_ifeelbetter.wav,i feel better,test,A
mi_openthewindow.wav,open the window,test,A
mi_imnotready.wav,i'm not ready,test,A
mi_ihadadream.wav,i had a dream,test,A
mi_lookoverthere.wav,look over there,test,A
mi_lockthedoor.wav,lock the door,test,A
mi_drawapicture.wav,draw a picture,test,A
mi_itstimeforlunch.wav,it's time for lunch,test,A
mi_imbeautiful.wav,i'm beautiful,test,A
mi_cap_B.wav,cap,test,B
mi_cat_B.wav,cat,test,B
mi_wash_B.wav,wash,test,B
mi_watch_B.wav,watch,test,B
mi_read_B.wav,read,test,B
mi_ring_B.wav,ring,test,B
mi_putonthecap.wav,put on the cap,test,B
mi_petthecat.wav,pet the cat,test,B
mi_watchthegame.wav,watch the game,test,B
mi_washtheclothes.wav,wash the clothes,test,B
mi_readthebook.wav,read the book,test,B
mi_ringthebell.wav,ring the bell,test,B
